uid,Titre en anglais,Titre en Japonais,Editeurs,Numéro de série,Date,Main Category,Sub Category
7defbfda-843a-42e9-83ef-ca40e626a904,2020 Super Baseball,2020年 スーパーベースボール,ケイ・アミューズメントリース / エス・エヌ・ケイ / K. Amusement Leasing Co. / SNK,SHVC-SA / SNS-SA,1993-03-12 / 1993-01-01,Sports,Baseball
6db5122e-dbd9-420e-b92f-1b9a241e3c64,3 Jigen Kakutou Ballz,3次元格闘ボールズ,メディアリング / Media Rings / PF.Magic,SHVC-ABZJ-JPN / SNS-ABZE-USA,1995-04-28 / 1995-04-27,Fighting,Versus
af61b29f-3a58-48ec-99b7-a8a15e2cc81c,3x3 Eyes - Sazanaizu Jyumahoukan,3x3 EYES 〜獣魔奉還〜 [サザンアイズ（三只眼）],バンプレスト / バンプレ企画 / Banpresto,SHVC-A83J-JPN,1995-12-22,Aventure,
b4b0577c-0200-4e9a-bbc1-7c2be1079aa3,3x3 Eyes - Sazanaizu Seima Kourinden,3x3 EYES サザンアイズ（三只眼）聖魔降臨伝,"バンダイ, ユタカ / Bandai, Yutaka",SHVC-33,1992-07-28,RPG,
2204b3f5-26dd-4e7d-bdc2-bc1a4689e62f,4 Nin Shougi,4人将棋,プランニングオフィスワダ（パウ） / Planning Office WADA (POW),SHVC-AYSJ-JPN,1995-07-14,Table Game,Shougi
61312faf-a92e-4b50-9618-784abd5332b9,46 Okunen Monogatari - Harukanaru Eden he,46億年物語 —はるかなるエデンへ—,エニックス / ゲームプラン21 / アルマニック / Enix / Gameplan 21 / Almanic,SHVC-46 / SNS-46,1992-12-21 / 1993-07-01,RPG,Action
ffde0850-8d9b-4490-b06c-073cbe26450c,ABC Monday Night Football,ABC マンデーナイトフットボール,データイースト / 空想科学 / Data East / Kuusoukagaku,SHVC-N5 / SNS-N5,1993-11-26 / 1993-01-01,Sports,Football
ac854e03-a1f7-4364-b02f-ccf1780e162f,Accele Brid,アクセルブリッド,トミー / 元気 / Tomy / Genki,SHVC-AY,1993-11-26,SHMUP,Behind
1499948a-292d-41f9-98d7-aa073c16b1f3,Ace o Nerae!,エースをねらえ！,日本テレネット / Telenet Japan,SHVC-EE,1993-12-22,Sports,Tennis
ee65c075-8b19-4909-a0b6-ca21d6aed289,Acrobat Mission,アクロバットミッション,テイチク / ユー・ピー・エル / Teichiku / UPL,SHVC-2T,1992-09-11,SHMUP,Vertical
4282ceda-f88b-4b40-aebe-1407a532cd31,Action Pachio,アクションパチ夫,ココナッツ・ジャパン / Coconuts Japan,SHVC-PE,1993-04-09,Platformer,
