Titre en anglais,Titre en Japonais,Editeurs,Numéro de série,Date,Main Category,Sub Category
2020 Super Baseball,2020年 スーパーベースボール,ケイ・アミューズメントリース / エス・エヌ・ケイ / K. Amusement Leasing Co. / SNK,SHVC-SA / SNS-SA,1993-03-12 / 1993-01-01,Sports,Baseball
3 Jigen Kakutou Ballz,3次元格闘ボールズ,メディアリング / Media Rings / PF.Magic,SHVC-ABZJ-JPN / SNS-ABZE-USA,1995-04-28 / 1995-04-27,Fighting,Versus
3x3 Eyes - Sazanaizu Jyumahoukan,3x3 EYES 〜獣魔奉還〜 [サザンアイズ（三只眼）],バンプレスト / バンプレ企画 / Banpresto,SHVC-A83J-JPN,1995-12-22,Aventure,
3x3 Eyes - Sazanaizu Seima Kourinden,3x3 EYES サザンアイズ（三只眼）聖魔降臨伝,"バンダイ, ユタカ / Bandai, Yutaka",SHVC-33,1992-07-28,RPG,
4 Nin Shougi,4人将棋,プランニングオフィスワダ（パウ） / Planning Office WADA (POW),SHVC-AYSJ-JPN,1995-07-14,Table Game,Shougi
46 Okunen Monogatari - Harukanaru Eden he,46億年物語 —はるかなるエデンへ—,エニックス / ゲームプラン21 / アルマニック / Enix / Gameplan 21 / Almanic,SHVC-46 / SNS-46,1992-12-21 / 1993-07-01,RPG,Action
ABC Monday Night Football,ABC マンデーナイトフットボール,データイースト / 空想科学 / Data East / Kuusoukagaku,SHVC-N5 / SNS-N5,1993-11-26 / 1993-01-01,Sports,Football
Accele Brid,アクセルブリッド,トミー / 元気 / Tomy / Genki,SHVC-AY,1993-11-26,SHMUP,Behind
Ace o Nerae!,エースをねらえ！,日本テレネット / Telenet Japan,SHVC-EE,1993-12-22,Sports,Tennis
Acrobat Mission,アクロバットミッション,テイチク / ユー・ピー・エル / Teichiku / UPL,SHVC-2T,1992-09-11,SHMUP,Vertical
Action Pachio,アクションパチ夫,ココナッツ・ジャパン / Coconuts Japan,SHVC-PE,1993-04-09,Platformer,
ActRaiser,アクトレイザー,エニックス / クインテット / Enix / Quintet,SHVC-AR / SNS-AR-USA,1990-12-16 / 1991-11-01,RPG,Action
ActRaiser 2 - Chinmoku heno Seisen,アクトレイザー2 〜沈黙への聖戦〜,エニックス / クインテット / Enix / Quintet,SHVC-A8 / SNS-A8-USA,1993-10-29 / 1993-11-01,RPG,Action
Advanced Dungeons & Dragons - Eye of the Beholder,AD&D アイ・オブ・ザ・ビホルダー,カプコン / Capcom / TSR,SHVC-IB,1994-03-18,RPG,First Person
Aguri Suzuki no F-1 Super Driving,鈴木亜久里のF-1スーパードライビング,ロジーク（ジー・アミューズメンツ） / LOZC G. Amusements / A. Company,SHVC-GF,1992-07-17,Racing,Formule 1
AIII S.V. - A Ressha de Ikou 3 Super Version,A III S.V. A列車で行こう3 スーパーバージョン,パック・イン・ビデオ / アートディンク / Pack-in-Video / Artdink,SHVC-ATGJ-JPN,1995-09-29,Strategy,
Air Management - Oozora ni Kakeru,エアーマネジメント 大空に賭ける,光栄 / Koei,SHVC-AL,1992-04-05,Strategy,Management
Air Management 2 - Koukuu Ou wo Mezase,エアーマネジメントII 航空王をめざせ,光栄 / Koei,SHVC-AG,1993-04-02,Strategy,Management
Akagawa Jirou Majotachi no Nemuri,魔女たちの眠り 赤川次郎,パック・イン・ビデオ / Pack-in-Video,SHVC-AAMJ-JPN,1995-11-24,Visual Novel,Horror
Akazukin Cha Cha,赤ずきんチャチャ,トミー / Tomy,SHVC-ACJJ-JPN,1996-08-09,RPG,
Akumajou Dracula,悪魔城ドラキュラ,コナミ / Konami,SHVC-AD,1991-10-31,Platformer,Action
Akumajou Dracula XX,ダブルエックス 悪魔城ドラキュラXX,コナミ / Konami,SHVC-ADZJ-JPN / SNS-ADZE-USA,1995-07-21,Platformer,Action
Aladdin,アラジン,カプコン / Capcom,SHVC-RJ / SNS-RJ-USA,1993-11-26 / 1993-01-01,Platformer,
Albert Odyssey,アルバートオデッセイ,"サンソフト（サン電子）, 東海エンジニアリング / Sunsoft (Sun Electronics), Tokai Engineering",SHVC-AO,1993-03-05,RPG,
Albert Odyssey 2 - Jashin no Taidou,アルバートオデッセイ2 邪神の胎動,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-AO2J-JPN,1994-12-22,RPG,
Alcahest,アルカエスト,スクウェア / ハル研究所 / Square / HAL Laboratory,SHVC-LX,1993-12-17,Aventure,
